Edo,Nombre_Indicador,Indicador,Año
Chiapas,Credencializados en la sección,79.58,VNM12
Chihuahua,Credencializados en la sección,71.42,VNM12
Ciudad de México,Credencializados en la sección,81.72,VNM12
Durango,Credencializados en la sección,80.95,VNM12
Guanajuato,Credencializados en la sección,73.14,VNM12
Guerrero,Credencializados en la sección,75.44,VNM12
Hidalgo,Credencializados en la sección,78.72,VNM12
Jalisco,Credencializados en la sección,73.25,VNM12
México,Credencializados en la sección,76.36,VNM12
Michoacán,Credencializados en la sección,76.7,VNM12
Morelos,Credencializados en la sección,78.19,VNM12
Nayarit,Credencializados en la sección,74.12,VNM12
Nuevo León,Credencializados en la sección,73.01,VNM12
Oaxaca,Credencializados en la sección,79.22,VNM12
Puebla,Credencializados en la sección,81.39,VNM12
Querétaro,Credencializados en la sección,71.28,VNM12
Quintana Roo,Credencializados en la sección,65.29,VNM12
San Luis Potosí,Credencializados en la sección,75.45,VNM12
Sinaloa,Credencializados en la sección,69.46,VNM12
Sonora,Credencializados en la sección,75.16,VNM12
Tabasco,Credencializados en la sección,79.86,VNM12
Tamaulipas,Credencializados en la sección,79.07,VNM12
Tlaxcala,Credencializados en la sección,80.51,VNM12
Veracruz,Credencializados en la sección,75.32,VNM12
Yucatán,Credencializados en la sección,79.96,VNM12
Zacatecas,Credencializados en la sección,78.17,VNM12
Nacional,Credencializados en la sección,73.67,VNM14
Aguascalientes,Credencializados en la sección,71.24,VNM14
Baja California,Credencializados en la sección,67.2,VNM14
Baja California Sur,Credencializados en la sección,66.27,VNM14
Campeche,Credencializados en la sección,77.4,VNM14
Coahuila,Credencializados en la sección,74.54,VNM14
Colima,Credencializados en la sección,69.16,VNM14
Chiapas,Credencializados en la sección,75.63,VNM14
Chihuahua,Credencializados en la sección,71.14,VNM14
Ciudad de México,Credencializados en la sección,76.04,VNM14
Durango,Credencializados en la sección,77.52,VNM14
Guanajuato,Credencializados en la sección,73.72,VNM14
Guerrero,Credencializados en la sección,75.19,VNM14
Hidalgo,Credencializados en la sección,75.24,VNM14
Jalisco,Credencializados en la sección,73.26,VNM14
México,Credencializados en la sección,71.5,VNM14
Michoacán,Credencializados en la sección,76.18,VNM14
Morelos,Credencializados en la sección,77.32,VNM14
Nayarit,Credencializados en la sección,71.87,VNM14
Nuevo León,Credencializados en la sección,69.24,VNM14
Oaxaca,Credencializados en la sección,74.21,VNM14
Puebla,Credencializados en la sección,75.03,VNM14
Querétaro,Credencializados en la sección,80.03,VNM14
Quintana Roo,Credencializados en la sección,57.9,VNM14
San Luis Potosí,Credencializados en la sección,78.93,VNM14
Sinaloa,Credencializados en la sección,69.56,VNM14
Sonora,Credencializados en la sección,65.03,VNM14
Tabasco,Credencializados en la sección,77.99,VNM14
Tamaulipas,Credencializados en la sección,75.87,VNM14
Tlaxcala,Credencializados en la sección,77.28,VNM14
Veracruz,Credencializados en la sección,77.58,VNM14
Yucatán,Credencializados en la sección,76.92,VNM14
Zacatecas,Credencializados en la sección,73.09,VNM14
Nacional,Credencializados en la sección,78.57,VNM15
Nacional,Credencializados en la sección,81.07,VNM17
Aguascalientes,Credencializados en la sección,79.48,VNM17
Baja California,Credencializados en la sección,76.3,VNM17
Baja California Sur,Credencializados en la sección,76.04,VNM17
Campeche,Credencializados en la sección,80.19,VNM17
Coahuila,Credencializados en la sección,80.33,VNM17
Colima,Credencializados en la sección,76.95,VNM17
Chiapas,Credencializados en la sección,87.24,VNM17
Chihuahua,Credencializados en la sección,82.02,VNM17
Ciudad de México,Credencializados en la sección,81.62,VNM17
Durango,Credencializados en la sección,78.14,VNM17
Guanajuato,Credencializados en la sección,83.71,VNM17
Guerrero,Credencializados en la sección,82.7,VNM17
Hidalgo,Credencializados en la sección,82.46,VNM17
Jalisco,Credencializados en la sección,77.93,VNM17
México,Credencializados en la sección,79.63,VNM17
Michoacán,Credencializados en la sección,82.92,VNM17
Morelos,Credencializados en la sección,80.18,VNM17
Nayarit,Credencializados en la sección,81.9,VNM17
Nuevo León,Credencializados en la sección,75.77,VNM17
Oaxaca,Credencializados en la sección,83.62,VNM17
Puebla,Credencializados en la sección,82.93,VNM17
Querétaro,Credencializados en la sección,81.36,VNM17
Quintana Roo,Credencializados en la sección,67.94,VNM17
San Luis Potosí,Credencializados en la sección,87.34,VNM17
Sinaloa,Credencializados en la sección,82.45,VNM17
Sonora,Credencializados en la sección,77.8,VNM17
Tabasco,Credencializados en la sección,88.21,VNM17
Tamaulipas,Credencializados en la sección,84.99,VNM17
Tlaxcala,Credencializados en la sección,82.75,VNM17
Veracruz,Credencializados en la sección,81.09,VNM17
Yucatán,Credencializados en la sección,81.19,VNM17
Zacatecas,Credencializados en la sección,81.4,VNM17
Nacional,Demanda Potencial de Solicitdes de Credencial,27.5,VNM03
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,28.82,VNM03
Baja California,Demanda Potencial de Solicitdes de Credencial,39.45,VNM03
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,38.19,VNM03
Campeche,Demanda Potencial de Solicitdes de Credencial,28.24,VNM03
Coahuila,Demanda Potencial de Solicitdes de Credencial,31.33,VNM03
Colima,Demanda Potencial de Solicitdes de Credencial,33.37,VNM03
Chiapas,Demanda Potencial de Solicitdes de Credencial,26.23,VNM03
Chihuahua,Demanda Potencial de Solicitdes de Credencial,34.23,VNM03
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,22.23,VNM03
Durango,Demanda Potencial de Solicitdes de Credencial,27.31,VNM03
Guanajuato,Demanda Potencial de Solicitdes de Credencial,22.15,VNM03
Guerrero,Demanda Potencial de Solicitdes de Credencial,31.55,VNM03
Hidalgo,Demanda Potencial de Solicitdes de Credencial,24.39,VNM03
Jalisco,Demanda Potencial de Solicitdes de Credencial,30.18,VNM03
México,Demanda Potencial de Solicitdes de Credencial,23.43,VNM03
Michoacán,Demanda Potencial de Solicitdes de Credencial,31.62,VNM03
Morelos,Demanda Potencial de Solicitdes de Credencial,22.86,VNM03
Nayarit,Demanda Potencial de Solicitdes de Credencial,23.16,VNM03
Nuevo León,Demanda Potencial de Solicitdes de Credencial,26.81,VNM03
Oaxaca,Demanda Potencial de Solicitdes de Credencial,28.66,VNM03
Puebla,Demanda Potencial de Solicitdes de Credencial,29.33,VNM03
Querétaro,Demanda Potencial de Solicitdes de Credencial,22.57,VNM03
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,32.62,VNM03
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,31.25,VNM03
Sinaloa,Demanda Potencial de Solicitdes de Credencial,29.25,VNM03
Sonora,Demanda Potencial de Solicitdes de Credencial,26.46,VNM03
Tabasco,Demanda Potencial de Solicitdes de Credencial,21.99,VNM03
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,31.16,VNM03
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,23,VNM03
Veracruz,Demanda Potencial de Solicitdes de Credencial,27.88,VNM03
Yucatán,Demanda Potencial de Solicitdes de Credencial,29.74,VNM03
Zacatecas,Demanda Potencial de Solicitdes de Credencial,35.56,VNM03
Nacional,Demanda Potencial de Solicitdes de Credencial,30.6,VNM05
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,30.51,VNM05
Baja California,Demanda Potencial de Solicitdes de Credencial,38.43,VNM05
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,39.95,VNM05
Campeche,Demanda Potencial de Solicitdes de Credencial,24.92,VNM05
Coahuila,Demanda Potencial de Solicitdes de Credencial,31.72,VNM05
Colima,Demanda Potencial de Solicitdes de Credencial,36.06,VNM05
Chiapas,Demanda Potencial de Solicitdes de Credencial,37.51,VNM05
Chihuahua,Demanda Potencial de Solicitdes de Credencial,32.2,VNM05
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,22.78,VNM05
Durango,Demanda Potencial de Solicitdes de Credencial,43.77,VNM05
Guanajuato,Demanda Potencial de Solicitdes de Credencial,27.1,VNM05
Guerrero,Demanda Potencial de Solicitdes de Credencial,39.29,VNM05
Hidalgo,Demanda Potencial de Solicitdes de Credencial,33.13,VNM05
Jalisco,Demanda Potencial de Solicitdes de Credencial,32.81,VNM05
México,Demanda Potencial de Solicitdes de Credencial,28.88,VNM05
Michoacán,Demanda Potencial de Solicitdes de Credencial,33.76,VNM05
Morelos,Demanda Potencial de Solicitdes de Credencial,24.66,VNM05
Nayarit,Demanda Potencial de Solicitdes de Credencial,33.94,VNM05
Nuevo León,Demanda Potencial de Solicitdes de Credencial,23.1,VNM05
Oaxaca,Demanda Potencial de Solicitdes de Credencial,26.97,VNM05
Puebla,Demanda Potencial de Solicitdes de Credencial,27.87,VNM05
Querétaro,Demanda Potencial de Solicitdes de Credencial,31.4,VNM05
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,33.3,VNM05
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,35.31,VNM05
Sinaloa,Demanda Potencial de Solicitdes de Credencial,31.19,VNM05
Sonora,Demanda Potencial de Solicitdes de Credencial,32.19,VNM05
Tabasco,Demanda Potencial de Solicitdes de Credencial,14.81,VNM05
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,31.84,VNM05
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,20.75,VNM05
Veracruz,Demanda Potencial de Solicitdes de Credencial,39.33,VNM05
Yucatán,Demanda Potencial de Solicitdes de Credencial,28.79,VNM05
Zacatecas,Demanda Potencial de Solicitdes de Credencial,37.91,VNM05
Nacional,Demanda Potencial de Solicitdes de Credencial,30.5,VNM06
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,26.08,VNM06
Baja California,Demanda Potencial de Solicitdes de Credencial,40.61,VNM06
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,53.76,VNM06
Campeche,Demanda Potencial de Solicitdes de Credencial,28.38,VNM06
Coahuila,Demanda Potencial de Solicitdes de Credencial,26.75,VNM06
Colima,Demanda Potencial de Solicitdes de Credencial,43.06,VNM06
Chiapas,Demanda Potencial de Solicitdes de Credencial,27.71,VNM06
Chihuahua,Demanda Potencial de Solicitdes de Credencial,35.9,VNM06
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,21.42,VNM06
Durango,Demanda Potencial de Solicitdes de Credencial,31.83,VNM06
Guanajuato,Demanda Potencial de Solicitdes de Credencial,32.67,VNM06
Guerrero,Demanda Potencial de Solicitdes de Credencial,27.87,VNM06
Hidalgo,Demanda Potencial de Solicitdes de Credencial,25.03,VNM06
Jalisco,Demanda Potencial de Solicitdes de Credencial,38.17,VNM06
México,Demanda Potencial de Solicitdes de Credencial,32.72,VNM06
Michoacán,Demanda Potencial de Solicitdes de Credencial,31.59,VNM06
Morelos,Demanda Potencial de Solicitdes de Credencial,30.3,VNM06
Nayarit,Demanda Potencial de Solicitdes de Credencial,30.49,VNM06
Nuevo León,Demanda Potencial de Solicitdes de Credencial,35.37,VNM06
Oaxaca,Demanda Potencial de Solicitdes de Credencial,19.99,VNM06
Puebla,Demanda Potencial de Solicitdes de Credencial,26.85,VNM06
Querétaro,Demanda Potencial de Solicitdes de Credencial,26.11,VNM06
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,41.46,VNM06
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,30.09,VNM06
Sinaloa,Demanda Potencial de Solicitdes de Credencial,33.56,VNM06
Sonora,Demanda Potencial de Solicitdes de Credencial,33.61,VNM06
Tabasco,Demanda Potencial de Solicitdes de Credencial,25.01,VNM06
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,36.01,VNM06
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,32.1,VNM06
Veracruz,Demanda Potencial de Solicitdes de Credencial,25.47,VNM06
Yucatán,Demanda Potencial de Solicitdes de Credencial,28.24,VNM06
Zacatecas,Demanda Potencial de Solicitdes de Credencial,36.58,VNM06
Nacional,Demanda Potencial de Solicitdes de Credencial,30.52,VNM08
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,26.66,VNM08
Baja California,Demanda Potencial de Solicitdes de Credencial,39.39,VNM08
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,47.38,VNM08
Campeche,Demanda Potencial de Solicitdes de Credencial,29.26,VNM08
Coahuila,Demanda Potencial de Solicitdes de Credencial,28.29,VNM08
Colima,Demanda Potencial de Solicitdes de Credencial,35.94,VNM08
Chiapas,Demanda Potencial de Solicitdes de Credencial,30.72,VNM08
Chihuahua,Demanda Potencial de Solicitdes de Credencial,35.17,VNM08
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,22.98,VNM08
Durango,Demanda Potencial de Solicitdes de Credencial,27.97,VNM08
Guanajuato,Demanda Potencial de Solicitdes de Credencial,28.73,VNM08
Guerrero,Demanda Potencial de Solicitdes de Credencial,36.02,VNM08
Hidalgo,Demanda Potencial de Solicitdes de Credencial,24.96,VNM08
Jalisco,Demanda Potencial de Solicitdes de Credencial,35.45,VNM08
México,Demanda Potencial de Solicitdes de Credencial,29.33,VNM08
Michoacán,Demanda Potencial de Solicitdes de Credencial,33.1,VNM08
Morelos,Demanda Potencial de Solicitdes de Credencial,32.79,VNM08
Nayarit,Demanda Potencial de Solicitdes de Credencial,32.18,VNM08
Nuevo León,Demanda Potencial de Solicitdes de Credencial,28.83,VNM08
Oaxaca,Demanda Potencial de Solicitdes de Credencial,32.75,VNM08
Puebla,Demanda Potencial de Solicitdes de Credencial,32.37,VNM08
Querétaro,Demanda Potencial de Solicitdes de Credencial,29.47,VNM08
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,41.98,VNM08
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,31.06,VNM08
Sinaloa,Demanda Potencial de Solicitdes de Credencial,29.86,VNM08
Sonora,Demanda Potencial de Solicitdes de Credencial,33.66,VNM08
Tabasco,Demanda Potencial de Solicitdes de Credencial,25.26,VNM08
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,32.32,VNM08
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,25.56,VNM08
Veracruz,Demanda Potencial de Solicitdes de Credencial,31.2,VNM08
Yucatán,Demanda Potencial de Solicitdes de Credencial,28.62,VNM08
Zacatecas,Demanda Potencial de Solicitdes de Credencial,25.53,VNM08
Nacional,Demanda Potencial de Solicitdes de Credencial,28.15,VNM09
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,25.27,VNM09
Baja California,Demanda Potencial de Solicitdes de Credencial,39.74,VNM09
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,36.47,VNM09
Campeche,Demanda Potencial de Solicitdes de Credencial,27.33,VNM09
Coahuila,Demanda Potencial de Solicitdes de Credencial,33.71,VNM09
Colima,Demanda Potencial de Solicitdes de Credencial,26.49,VNM09
Chiapas,Demanda Potencial de Solicitdes de Credencial,25.19,VNM09
Chihuahua,Demanda Potencial de Solicitdes de Credencial,31.64,VNM09
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,21.31,VNM09
Durango,Demanda Potencial de Solicitdes de Credencial,25.35,VNM09
Guanajuato,Demanda Potencial de Solicitdes de Credencial,28.79,VNM09
Guerrero,Demanda Potencial de Solicitdes de Credencial,30.94,VNM09
Hidalgo,Demanda Potencial de Solicitdes de Credencial,27.92,VNM09
Jalisco,Demanda Potencial de Solicitdes de Credencial,36.21,VNM09
México,Demanda Potencial de Solicitdes de Credencial,27.98,VNM09
Michoacán,Demanda Potencial de Solicitdes de Credencial,30.72,VNM09
Morelos,Demanda Potencial de Solicitdes de Credencial,23.99,VNM09
Nayarit,Demanda Potencial de Solicitdes de Credencial,32.2,VNM09
Nuevo León,Demanda Potencial de Solicitdes de Credencial,24.77,VNM09
Oaxaca,Demanda Potencial de Solicitdes de Credencial,24.93,VNM09
Puebla,Demanda Potencial de Solicitdes de Credencial,27.96,VNM09
Querétaro,Demanda Potencial de Solicitdes de Credencial,27.45,VNM09
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,40.72,VNM09
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,25.44,VNM09
Sinaloa,Demanda Potencial de Solicitdes de Credencial,28.59,VNM09
Sonora,Demanda Potencial de Solicitdes de Credencial,31.08,VNM09
Tabasco,Demanda Potencial de Solicitdes de Credencial,22.25,VNM09
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,31.97,VNM09
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,23.84,VNM09
Veracruz,Demanda Potencial de Solicitdes de Credencial,25.79,VNM09
Yucatán,Demanda Potencial de Solicitdes de Credencial,20.72,VNM09
Zacatecas,Demanda Potencial de Solicitdes de Credencial,24.57,VNM09
Nacional,Demanda Potencial de Solicitdes de Credencial,30.89,VNM11
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,29.05,VNM11
Baja California,Demanda Potencial de Solicitdes de Credencial,38.44,VNM11
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,41.27,VNM11
Campeche,Demanda Potencial de Solicitdes de Credencial,28.51,VNM11
Coahuila,Demanda Potencial de Solicitdes de Credencial,28.85,VNM11
Colima,Demanda Potencial de Solicitdes de Credencial,35.26,VNM11
Chiapas,Demanda Potencial de Solicitdes de Credencial,40.33,VNM11
Chihuahua,Demanda Potencial de Solicitdes de Credencial,27.21,VNM11
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,24,VNM11
Durango,Demanda Potencial de Solicitdes de Credencial,31.69,VNM11
Guanajuato,Demanda Potencial de Solicitdes de Credencial,29.17,VNM11
Guerrero,Demanda Potencial de Solicitdes de Credencial,36.62,VNM11
Hidalgo,Demanda Potencial de Solicitdes de Credencial,25.43,VNM11
Jalisco,Demanda Potencial de Solicitdes de Credencial,32.83,VNM11
México,Demanda Potencial de Solicitdes de Credencial,29.33,VNM11
Michoacán,Demanda Potencial de Solicitdes de Credencial,35.94,VNM11
Morelos,Demanda Potencial de Solicitdes de Credencial,27.63,VNM11
Nayarit,Demanda Potencial de Solicitdes de Credencial,32.17,VNM11
Nuevo León,Demanda Potencial de Solicitdes de Credencial,31.17,VNM11
Oaxaca,Demanda Potencial de Solicitdes de Credencial,25.84,VNM11
Puebla,Demanda Potencial de Solicitdes de Credencial,30.59,VNM11
Querétaro,Demanda Potencial de Solicitdes de Credencial,39.11,VNM11
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,37.36,VNM11
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,29.19,VNM11
Sinaloa,Demanda Potencial de Solicitdes de Credencial,31.06,VNM11
Sonora,Demanda Potencial de Solicitdes de Credencial,33.95,VNM11
Tabasco,Demanda Potencial de Solicitdes de Credencial,26.19,VNM11
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,33.42,VNM11
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,26.43,VNM11
Veracruz,Demanda Potencial de Solicitdes de Credencial,28.17,VNM11
Yucatán,Demanda Potencial de Solicitdes de Credencial,20.98,VNM11
Zacatecas,Demanda Potencial de Solicitdes de Credencial,48.72,VNM11
Nacional,Demanda Potencial de Solicitdes de Credencial,31.3,VNM12
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,30.16,VNM12
Baja California,Demanda Potencial de Solicitdes de Credencial,32.57,VNM12
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,36.81,VNM12
Campeche,Demanda Potencial de Solicitdes de Credencial,31.66,VNM12
Coahuila,Demanda Potencial de Solicitdes de Credencial,31.85,VNM12
Colima,Demanda Potencial de Solicitdes de Credencial,32.26,VNM12
Chiapas,Demanda Potencial de Solicitdes de Credencial,28.71,VNM12
Chihuahua,Demanda Potencial de Solicitdes de Credencial,34.6,VNM12
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,21.92,VNM12
Durango,Demanda Potencial de Solicitdes de Credencial,24.31,VNM12
Guanajuato,Demanda Potencial de Solicitdes de Credencial,33.76,VNM12
Guerrero,Demanda Potencial de Solicitdes de Credencial,34.43,VNM12
Hidalgo,Demanda Potencial de Solicitdes de Credencial,28.74,VNM12
Jalisco,Demanda Potencial de Solicitdes de Credencial,35.49,VNM12
México,Demanda Potencial de Solicitdes de Credencial,31.65,VNM12
Michoacán,Demanda Potencial de Solicitdes de Credencial,32.85,VNM12
Morelos,Demanda Potencial de Solicitdes de Credencial,27.15,VNM12
Nayarit,Demanda Potencial de Solicitdes de Credencial,33.85,VNM12
Nuevo León,Demanda Potencial de Solicitdes de Credencial,31.25,VNM12
Oaxaca,Demanda Potencial de Solicitdes de Credencial,33.09,VNM12
Puebla,Demanda Potencial de Solicitdes de Credencial,36.2,VNM12
Querétaro,Demanda Potencial de Solicitdes de Credencial,32.48,VNM12
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,38.4,VNM12
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,33.71,VNM12
Sinaloa,Demanda Potencial de Solicitdes de Credencial,34.31,VNM12
Sonora,Demanda Potencial de Solicitdes de Credencial,30.57,VNM12
Tabasco,Demanda Potencial de Solicitdes de Credencial,27.94,VNM12
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,26.36,VNM12
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,23.46,VNM12
Veracruz,Demanda Potencial de Solicitdes de Credencial,32.63,VNM12
Yucatán,Demanda Potencial de Solicitdes de Credencial,24.23,VNM12
Zacatecas,Demanda Potencial de Solicitdes de Credencial,33.38,VNM12
Nacional,Demanda Potencial de Solicitdes de Credencial,31.2,VNM14
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,32.86,VNM14
Baja California,Demanda Potencial de Solicitdes de Credencial,36.61,VNM14
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,39.64,VNM14
Campeche,Demanda Potencial de Solicitdes de Credencial,29.55,VNM14
Coahuila,Demanda Potencial de Solicitdes de Credencial,33.96,VNM14
Colima,Demanda Potencial de Solicitdes de Credencial,38.27,VNM14
Chiapas,Demanda Potencial de Solicitdes de Credencial,29.52,VNM14
Chihuahua,Demanda Potencial de Solicitdes de Credencial,33.98,VNM14
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,26.1,VNM14
Durango,Demanda Potencial de Solicitdes de Credencial,28.3,VNM14
Guanajuato,Demanda Potencial de Solicitdes de Credencial,30.77,VNM14
Guerrero,Demanda Potencial de Solicitdes de Credencial,34.26,VNM14
Hidalgo,Demanda Potencial de Solicitdes de Credencial,30.25,VNM14
Jalisco,Demanda Potencial de Solicitdes de Credencial,32.83,VNM14
México,Demanda Potencial de Solicitdes de Credencial,32.87,VNM14
Michoacán,Demanda Potencial de Solicitdes de Credencial,30.35,VNM14
Morelos,Demanda Potencial de Solicitdes de Credencial,28.23,VNM14
Nayarit,Demanda Potencial de Solicitdes de Credencial,32.96,VNM14
Nuevo León,Demanda Potencial de Solicitdes de Credencial,33.73,VNM14
Oaxaca,Demanda Potencial de Solicitdes de Credencial,31.28,VNM14
Puebla,Demanda Potencial de Solicitdes de Credencial,31.26,VNM14
Querétaro,Demanda Potencial de Solicitdes de Credencial,26.48,VNM14
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,43.5,VNM14
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,26.99,VNM14
Sinaloa,Demanda Potencial de Solicitdes de Credencial,32,VNM14
Sonora,Demanda Potencial de Solicitdes de Credencial,38.62,VNM14
Tabasco,Demanda Potencial de Solicitdes de Credencial,25.54,VNM14
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,27.61,VNM14
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,29.18,VNM14
Veracruz,Demanda Potencial de Solicitdes de Credencial,28.34,VNM14
Yucatán,Demanda Potencial de Solicitdes de Credencial,26.59,VNM14
Zacatecas,Demanda Potencial de Solicitdes de Credencial,30.46,VNM14
Nacional,Demanda Potencial de Solicitdes de Credencial,27.59,VNM15
Nacional,Demanda Potencial de Solicitdes de Credencial,26.52,VNM17
Aguascalientes,Demanda Potencial de Solicitdes de Credencial,28.61,VNM17
Baja California,Demanda Potencial de Solicitdes de Credencial,33.73,VNM17
Baja California Sur,Demanda Potencial de Solicitdes de Credencial,32.97,VNM17
Campeche,Demanda Potencial de Solicitdes de Credencial,26.28,VNM17
Coahuila,Demanda Potencial de Solicitdes de Credencial,29.79,VNM17
Colima,Demanda Potencial de Solicitdes de Credencial,34.73,VNM17
Chiapas,Demanda Potencial de Solicitdes de Credencial,19.42,VNM17
Chihuahua,Demanda Potencial de Solicitdes de Credencial,28.11,VNM17
Ciudad de México,Demanda Potencial de Solicitdes de Credencial,22.81,VNM17
Durango,Demanda Potencial de Solicitdes de Credencial,30.15,VNM17
Guanajuato,Demanda Potencial de Solicitdes de Credencial,26.25,VNM17
Guerrero,Demanda Potencial de Solicitdes de Credencial,26.16,VNM17
Hidalgo,Demanda Potencial de Solicitdes de Credencial,22.68,VNM17
Jalisco,Demanda Potencial de Solicitdes de Credencial,33.02,VNM17
México,Demanda Potencial de Solicitdes de Credencial,25.87,VNM17
Michoacán,Demanda Potencial de Solicitdes de Credencial,24.25,VNM17
Morelos,Demanda Potencial de Solicitdes de Credencial,26.28,VNM17
Nayarit,Demanda Potencial de Solicitdes de Credencial,28.21,VNM17
Nuevo León,Demanda Potencial de Solicitdes de Credencial,28.8,VNM17
Oaxaca,Demanda Potencial de Solicitdes de Credencial,23.5,VNM17
Puebla,Demanda Potencial de Solicitdes de Credencial,23.27,VNM17
Querétaro,Demanda Potencial de Solicitdes de Credencial,26.42,VNM17
Quintana Roo,Demanda Potencial de Solicitdes de Credencial,39.75,VNM17
San Luis Potosí,Demanda Potencial de Solicitdes de Credencial,22.41,VNM17
Sinaloa,Demanda Potencial de Solicitdes de Credencial,26.32,VNM17
Sonora,Demanda Potencial de Solicitdes de Credencial,28.76,VNM17
Tabasco,Demanda Potencial de Solicitdes de Credencial,16.84,VNM17
Tamaulipas,Demanda Potencial de Solicitdes de Credencial,24.93,VNM17
Tlaxcala,Demanda Potencial de Solicitdes de Credencial,23,VNM17
Veracruz,Demanda Potencial de Solicitdes de Credencial,26.09,VNM17
Yucatán,Demanda Potencial de Solicitdes de Credencial,27.21,VNM17
Zacatecas,Demanda Potencial de Solicitdes de Credencial,29.47,VNM17
Nacional,Ciudadanos que hace un año vivían en el domicilio de registro,91.85,VNM03
Aguascalientes,Ciudadanos que hace un año vivían en el domicilio de registro,87.8,VNM03
Baja California,Ciudadanos que hace un año vivían en el domicilio de registro,88.85,VNM03
Baja California Sur,Ciudadanos que hace un año vivían en el domicilio de registro,85.59,VNM03
Campeche,Ciudadanos que hace un año vivían en el domicilio de registro,92.39,VNM03
Coahuila,Ciudadanos que hace un año vivían en el domicilio de registro,90.36,VNM03
Colima,Ciudadanos que hace un año vivían en el domicilio de registro,86.62,VNM03
Chiapas,Ciudadanos que hace un año vivían en el domicilio de registro,93.15,VNM03
Chihuahua,Ciudadanos que hace un año vivían en el domicilio de registro,88.79,VNM03
Ciudad de México,Ciudadanos que hace un año vivían en el domicilio de registro,92.5,VNM03
Durango,Ciudadanos que hace un año vivían en el domicilio de registro,94.35,VNM03
Guanajuato,Ciudadanos que hace un año vivían en el domicilio de registro,93.95,VNM03
Guerrero,Ciudadanos que hace un año vivían en el domicilio de registro,92.8,VNM03
Hidalgo,Ciudadanos que hace un año vivían en el domicilio de registro,95.61,VNM03
Jalisco,Ciudadanos que hace un año vivían en el domicilio de registro,89.91,VNM03
México,Ciudadanos que hace un año vivían en el domicilio de registro,93.34,VNM03
Michoacán,Ciudadanos que hace un año vivían en el domicilio de registro,91.79,VNM03
Morelos,Ciudadanos que hace un año vivían en el domicilio de registro,91.26,VNM03
Nayarit,Ciudadanos que hace un año vivían en el domicilio de registro,91.1,VNM03
Nuevo León,Ciudadanos que hace un año vivían en el domicilio de registro,91.58,VNM03
